Country Name,Country Code,Series Name,Series Code,2011 [YR2011],2014 [YR2014],2017 [YR2017],2021 [YR2021],2022 [YR2022]
World,WLD,"Made a deposit (% with a financial institution account, age 15+)",fin9.t.s,..,74.35,64.23,64.8,..
World,WLD,Made a digital merchant payment (% age 15+),merchant.pay,..,..,..,38.29,..
World,WLD,Made a digital online merchant payment for an online purchase (% age 15+),fin14c.t,..,..,..,..,..
World,WLD,Made a digital payment (% age 15+),g20.made.t.d,..,36.46,44.9,58.84,..
World,WLD,Made a utility payment (% age 15+),fin30.t.d,..,60.21,57.16,54.28,..
World,WLD,Made a utility payment: using a financial institution account (% age 15+),fin31a.t,..,16.92,21.5,24.94,..
World,WLD,Made a utility payment: using a mobile phone (% age 15+),fin31b.t,..,2.2,8.24,10.45,..
World,WLD,"Made a withdrawal (% with a financial institution account, age 15+)",fin10.t.s,..,73.07,66.93,67.49,..
World,WLD,Made or received a digital payment (% age 15+),g20.t.d,..,44.35,52.1,64.11,..
World,WLD,Received digital payments (% age 15+),g20.receive.t.d,..,33.22,34.1,42.59,..
World,WLD,Saved at a financial institution or using a mobile money account (% age 15+),fin17a.17a1.d,..,..,..,30.84,..
World,WLD,Saved money using a mobile money account (% age 15+),fin17a1.d,..,..,..,5.25,..
World,WLD,Store money using a financial institution or a mobile money account (% age 15+),fin10b.13b,..,..,..,47.95,..
World,WLD,Used a mobile phone or the internet to buy something online (% age 15+),fin14b.t.d,..,..,24.39,38.97,..
World,WLD,Used a mobile phone or the internet to send money (% age 15+),fin14a1.d,..,..,..,35.17,..
India,IND,"Made a deposit (% with a financial institution account, age 15+)",fin9.t.s,..,46.63,41.63,28.89,..
India,IND,Made a digital merchant payment (% age 15+),merchant.pay,..,..,..,11.9,..
India,IND,Made a digital online merchant payment for an online purchase (% age 15+),fin14c.t,..,..,..,..,..
India,IND,Made a digital payment (% age 15+),g20.made.t.d,..,15.72,19.97,24.69,..
India,IND,Made a utility payment (% age 15+),fin30.t.d,..,39.4,41.82,33.67,..
India,IND,Made a utility payment: using a financial institution account (% age 15+),fin31a.t,..,3.41,6.36,7.38,..
India,IND,Made a utility payment: using a mobile phone (% age 15+),fin31b.t,..,0.18,1.33,5.25,..
India,IND,"Made a withdrawal (% with a financial institution account, age 15+)",fin10.t.s,..,40.2,42.4,39.22,..
India,IND,Made or received a digital payment (% age 15+),g20.t.d,..,22.24,28.69,34.93,..
India,IND,Received digital payments (% age 15+),g20.receive.t.d,..,11.61,16.46,19.4,..
India,IND,Saved at a financial institution or using a mobile money account (% age 15+),fin17a.17a1.d,..,..,..,14.09,..
India,IND,Saved money using a mobile money account (% age 15+),fin17a1.d,..,..,..,3.48,..
India,IND,Store money using a financial institution or a mobile money account (% age 15+),fin10b.13b,..,..,..,34.52,..
India,IND,Used a mobile phone or the internet to buy something online (% age 15+),fin14b.t.d,..,..,2.86,8.28,..
India,IND,Used a mobile phone or the internet to send money (% age 15+),fin14a1.d,..,..,..,10.24,..
Bangladesh,BGD,"Made a deposit (% with a financial institution account, age 15+)",fin9.t.s,..,58.9,43.5,24.91,..
Bangladesh,BGD,Made a digital merchant payment (% age 15+),merchant.pay,..,..,..,2.78,..
Bangladesh,BGD,Made a digital online merchant payment for an online purchase (% age 15+),fin14c.t,..,..,..,..,..
Bangladesh,BGD,Made a digital payment (% age 15+),g20.made.t.d,..,5.94,30.13,40.58,..
Bangladesh,BGD,Made a utility payment (% age 15+),fin30.t.d,..,18.34,31.48,38.39,..
Bangladesh,BGD,Made a utility payment: using a financial institution account (% age 15+),fin31a.t,..,0.72,9.76,17.57,..
Bangladesh,BGD,Made a utility payment: using a mobile phone (% age 15+),fin31b.t,..,0.73,2.37,10.86,..
Bangladesh,BGD,"Made a withdrawal (% with a financial institution account, age 15+)",fin10.t.s,..,53.23,45.17,28.04,..
Bangladesh,BGD,Made or received a digital payment (% age 15+),g20.t.d,..,7.68,34.11,45.26,..
Bangladesh,BGD,Received digital payments (% age 15+),g20.receive.t.d,..,2.79,15.6,26.28,..
Bangladesh,BGD,Saved at a financial institution or using a mobile money account (% age 15+),fin17a.17a1.d,..,..,..,7.25,..
Bangladesh,BGD,Saved money using a mobile money account (% age 15+),fin17a1.d,..,..,..,1.73,..
Bangladesh,BGD,Store money using a financial institution or a mobile money account (% age 15+),fin10b.13b,..,..,..,14.66,..
Bangladesh,BGD,Used a mobile phone or the internet to buy something online (% age 15+),fin14b.t.d,..,..,1.27,3.05,..
Bangladesh,BGD,Used a mobile phone or the internet to send money (% age 15+),fin14a1.d,..,..,..,17.58,..
Bhutan,BTN,"Made a deposit (% with a financial institution account, age 15+)",fin9.t.s,..,79,..,..,..
Bhutan,BTN,Made a digital merchant payment (% age 15+),merchant.pay,..,..,..,..,..
Bhutan,BTN,Made a digital online merchant payment for an online purchase (% age 15+),fin14c.t,..,..,..,..,..
Bhutan,BTN,Made a digital payment (% age 15+),g20.made.t.d,..,12.91,..,..,..
Bhutan,BTN,Made a utility payment (% age 15+),fin30.t.d,..,63.01,..,..,..
Bhutan,BTN,Made a utility payment: using a financial institution account (% age 15+),fin31a.t,..,1.07,..,..,..
Bhutan,BTN,Made a utility payment: using a mobile phone (% age 15+),fin31b.t,..,0.4,..,..,..
Bhutan,BTN,"Made a withdrawal (% with a financial institution account, age 15+)",fin10.t.s,..,59.83,..,..,..
Bhutan,BTN,Made or received a digital payment (% age 15+),g20.t.d,..,17.23,..,..,..
Bhutan,BTN,Received digital payments (% age 15+),g20.receive.t.d,..,9.66,..,..,..
Bhutan,BTN,Saved at a financial institution or using a mobile money account (% age 15+),fin17a.17a1.d,..,..,..,..,..
Bhutan,BTN,Saved money using a mobile money account (% age 15+),fin17a1.d,..,..,..,..,..
Bhutan,BTN,Store money using a financial institution or a mobile money account (% age 15+),fin10b.13b,..,..,..,..,..
Bhutan,BTN,Used a mobile phone or the internet to buy something online (% age 15+),fin14b.t.d,..,..,..,..,..
Bhutan,BTN,Used a mobile phone or the internet to send money (% age 15+),fin14a1.d,..,..,..,..,..
Pakistan,PAK,"Made a deposit (% with a financial institution account, age 15+)",fin9.t.s,..,..,36.84,34.04,..
Pakistan,PAK,Made a digital merchant payment (% age 15+),merchant.pay,..,..,..,1.07,..
Pakistan,PAK,Made a digital online merchant payment for an online purchase (% age 15+),fin14c.t,..,..,..,..,..
Pakistan,PAK,Made a digital payment (% age 15+),g20.made.t.d,..,6.19,14.32,14.9,..
Pakistan,PAK,Made a utility payment (% age 15+),fin30.t.d,..,36.04,31.14,52.94,..
Pakistan,PAK,Made a utility payment: using a financial institution account (% age 15+),fin31a.t,..,0.41,7.36,5.34,..
Pakistan,PAK,Made a utility payment: using a mobile phone (% age 15+),fin31b.t,..,0.29,3.48,3.02,..
Pakistan,PAK,"Made a withdrawal (% with a financial institution account, age 15+)",fin10.t.s,..,..,42.96,45.55,..
Pakistan,PAK,Made or received a digital payment (% age 15+),g20.t.d,..,9.45,17.69,17.62,..
Pakistan,PAK,Received digital payments (% age 15+),g20.receive.t.d,..,6.11,8.51,8.13,..
Pakistan,PAK,Saved at a financial institution or using a mobile money account (% age 15+),fin17a.17a1.d,..,..,..,2.83,..
Pakistan,PAK,Saved money using a mobile money account (% age 15+),fin17a1.d,..,..,..,0.81,..
Pakistan,PAK,Store money using a financial institution or a mobile money account (% age 15+),fin10b.13b,..,..,..,7.89,..
Pakistan,PAK,Used a mobile phone or the internet to buy something online (% age 15+),fin14b.t.d,..,..,0.85,0.64,..
Pakistan,PAK,Used a mobile phone or the internet to send money (% age 15+),fin14a1.d,..,..,..,5.97,..
Nepal,NPL,"Made a deposit (% with a financial institution account, age 15+)",fin9.t.s,..,70.92,53.5,45.01,..
Nepal,NPL,Made a digital merchant payment (% age 15+),merchant.pay,..,..,..,5.41,..
Nepal,NPL,Made a digital online merchant payment for an online purchase (% age 15+),fin14c.t,..,..,..,..,..
Nepal,NPL,Made a digital payment (% age 15+),g20.made.t.d,..,5.62,9.11,18.78,..
Nepal,NPL,Made a utility payment (% age 15+),fin30.t.d,..,38.07,43.06,43.51,..
Nepal,NPL,Made a utility payment: using a financial institution account (% age 15+),fin31a.t,..,0.04,1.84,3.36,..
Nepal,NPL,Made a utility payment: using a mobile phone (% age 15+),fin31b.t,..,0.31,0.18,3.18,..
Nepal,NPL,"Made a withdrawal (% with a financial institution account, age 15+)",fin10.t.s,..,58.54,49.26,46.33,..
Nepal,NPL,Made or received a digital payment (% age 15+),g20.t.d,..,9.86,16.31,28.58,..
Nepal,NPL,Received digital payments (% age 15+),g20.receive.t.d,..,6.57,11.08,19.43,..
Nepal,NPL,Saved at a financial institution or using a mobile money account (% age 15+),fin17a.17a1.d,..,..,..,16.76,..
Nepal,NPL,Saved money using a mobile money account (% age 15+),fin17a1.d,..,..,..,1.74,..
