Country Code,year,"Made a deposit (% with a financial institution account, age 15+)",Made a digital in-store merchant payment (age 15+),Made a digital in-store merchant payment: using a mobile phone (% age 15+),"Made a digital in-store merchant payment: using a mobile phone, female (% age 15+)","Made a digital in-store merchant payment: using a mobile phone, male (% age 15+)","Made a digital in-store merchant payment: using a mobile phone, rural (% age 15+)","Made a digital in-store merchant payment: using a mobile phone, urban (% age 15+)",Made a digital merchant payment (% age 15+),"Made a digital merchant payment, female (% age 15+)","Made a digital merchant payment, male (% age 15+)","Made a digital merchant payment, rural (% age 15+)","Made a digital merchant payment, urban (% age 15+)",Made a digital online merchant payment for an online purchase (% age 15+),Made a digital payment (% age 15+),"Made a digital payment, female (% age 15+)","Made a digital payment, male (% age 15+)","Made a digital payment, rural (% age 15+)","Made a digital payment, urban (% age 15+)",Made a utility payment (% age 15+),"Made a utility payment, female (% age 15+)","Made a utility payment, male (% age 15+)","Made a utility payment, rural (% age 15+)","Made a utility payment, urban (% age 15+)",Made a utility payment: using a financial institution account (% age 15+),Made a utility payment: using a mobile phone (% age 15+),"Made a withdrawal (% with a financial institution account, age 15+)",Made or received a digital payment (% age 15+),"Made or received a digital payment, female (% age 15+)","Made or received a digital payment, male (% age 15+)","Made or received a digital payment, rural (% age 15+)","Made or received a digital payment, urban (% age 15+)",Received digital payments (% age 15+),"Received digital payments, female (% age 15+)","Received digital payments, male (% age 15+)","Received digital payments, rural (% age 15+)","Received digital payments, urban (% age 15+)",Saved at a financial institution or using a mobile money account (% age 15+),"Saved at a financial institution or using a mobile money account, female (% age 15+)","Saved at a financial institution or using a mobile money account, male (% age 15+)","Saved at a financial institution or using a mobile money account, rural (% age 15+)","Saved at a financial institution or using a mobile money account, urban (% age 15+)",Saved money using a mobile money account (% age 15+),"Saved money using a mobile money account, female (% age 15+)","Saved money using a mobile money account, male (% age 15+)","Saved money using a mobile money account, rural (% age 15+)","Saved money using a mobile money account, urban (% age 15+)",Store money using a financial institution or a mobile money account (% age 15+),"Store money using a financial institution or a mobile money account (% with an account,  age 15+)",Store money using a mobile money account (% age 15+),"Store money using a mobile money account (% with a mobile money account acount, age 15+)","Use a mobile phone or the internet to make payments, buy things, or to send or receive money using a financial institution account (% age 15+)","Use a mobile phone or the internet to make payments, buy things, or to send or receive money using a financial institution account (% with a financial institution account, age 15+)",Used a mobile phone or the internet to access a financial institution account (% age 15+),"Used a mobile phone or the internet to access a financial institution account (% with a financial institution account, age 15+)","Used a mobile phone or the internet to access an account (% with an account, age 15+)",Used a mobile phone or the internet to access an account(% age 15+),"Used a mobile phone or the internet to access an account, female (% age 15+)","Used a mobile phone or the internet to access an account, male (% age 15+)",Used a mobile phone or the internet to buy something online (% age 15+),"Used a mobile phone or the internet to buy something online, female (% age 15+)","Used a mobile phone or the internet to buy something online, male (% age 15+)","Used a mobile phone or the internet to buy something online, rural (% age 15+)","Used a mobile phone or the internet to buy something online, urban (% age 15+)",Used a mobile phone or the internet to check account balance(% age 15+),"Used a mobile phone or the internet to check account balance(% with a financial institution account, age 15+)",Used a mobile phone or the internet to pay bills (% age 15+),"Used a mobile phone or the internet to pay bills, female (% age 15+)","Used a mobile phone or the internet to pay bills, male (% age 15+)","Used a mobile phone or the internet to pay bills, rural (% age 15+)","Used a mobile phone or the internet to pay bills, urban (% age 15+)",Used a mobile phone or the internet to send money (% age 15+),"Used a mobile phone or the internet to send money, female (% age 15+)","Used a mobile phone or the internet to send money, male (% age 15+)","Used a mobile phone or the internet to send money, rural (% age 15+)","Used a mobile phone or the internet to send money, urban (% age 15+)"
BGD,2014,58.9,,,,,,,,,,,,,5.94,2.96,8.81,,,18.34,12.92,23.58,,,0.72,0.73,53.23,7.68,4.58,10.67,,,2.79,2.21,3.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BGD,2017,43.5,,,,,,,,,,,,,30.13,17.28,43.28,,,31.48,23.9,39.23,,,9.76,2.37,45.17,34.11,21.21,47.31,,,15.6,10.34,20.99,,,,,,,,,,,,,,,,,,,5.36,13.07,44.79,22.41,11.53,33.55,1.27,1.62,0.91,,,4.48,10.63,2.44,1.54,3.36,,,,,,,
BGD,2021,24.91,2.74,2.43,0.82,4.16,2.15,2.52,2.78,1.32,4.35,2.15,2.98,,40.58,28.04,54.06,39.62,40.88,38.39,27.3,50.31,32.49,40.25,17.57,10.86,28.04,45.26,33.56,57.86,44.7,45.44,26.28,18.36,34.81,27.6,25.87,7.25,5.9,8.69,6.86,7.37,1.73,1.23,2.27,2.88,1.37,14.66,27.77,5.67,19.55,4.35,11.53,,,,,,,3.05,2.44,3.69,2.26,3.29,6.14,16.3,10.52,4.72,16.77,8.75,11.08,17.58,7.64,28.28,19.96,16.83
BTN,2014,79.0,,,,,,,,,,,,,12.91,9.58,15.88,,,63.01,64.68,61.51,,,1.07,0.4,59.83,17.23,12.81,21.16,,,9.66,6.52,12.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDN,2014,78.9,,,,,,,,,,,,,16.39,16.71,16.07,,,60.0,62.51,57.42,,,2.91,0.44,77.89,23.31,24.16,22.45,,,17.73,17.65,17.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDN,2017,44.36,,,,,,,,,,,,,26.76,28.52,24.91,,,73.97,76.91,70.9,,,11.85,3.22,48.05,34.61,35.49,33.69,,,21.4,21.06,21.76,,,,,,,,,,,,,,,,,,,6.69,13.82,15.78,7.71,8.3,7.1,9.88,11.23,8.47,,,6.63,13.69,4.24,5.72,2.7,,,,,,,
IDN,2021,42.69,10.44,6.24,6.7,5.76,4.68,6.99,12.95,13.59,12.3,10.08,14.33,5.88,29.13,29.04,29.21,19.7,33.64,73.06,76.51,69.46,74.27,72.48,10.22,5.7,46.5,37.19,38.7,35.6,28.99,41.11,23.0,24.28,21.67,20.74,24.08,20.5,18.89,22.18,14.76,23.25,3.3,3.6,2.98,2.03,3.9,26.01,50.26,,,11.79,23.34,,,,,,,18.22,21.47,14.82,11.61,21.39,9.0,17.83,7.7,7.84,7.56,3.67,9.64,8.12,7.46,8.81,3.37,10.4
IND,2014,46.63,,,,,,,,,,,,,15.72,7.87,23.28,,,39.4,29.27,49.14,,,3.41,0.18,40.2,22.24,14.19,29.98,,,11.61,8.32,14.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IND,2017,41.63,,,,,,,,,,,,,19.97,13.52,26.22,,,41.82,33.93,49.47,,,6.36,1.33,42.4,28.69,22.44,34.75,,,16.46,13.5,19.32,,,,,,,,,,,,,,,,,,,5.0,6.27,6.63,5.3,3.75,6.8,2.86,1.93,3.75,,,6.72,8.42,2.7,1.88,3.49,,,,,,,
IND,2021,28.89,11.39,8.31,4.39,11.96,5.14,11.95,11.9,5.68,17.71,7.72,16.73,,24.69,15.75,33.03,18.5,31.82,33.67,33.65,33.68,31.11,36.61,7.38,5.25,39.22,34.93,27.98,41.42,30.39,40.16,19.4,17.48,21.19,18.33,20.64,14.09,12.74,15.35,11.58,16.98,3.48,1.87,4.98,1.98,5.21,34.52,44.53,5.97,57.19,12.07,15.61,,,,,,,8.28,5.09,11.26,5.79,11.16,15.52,20.08,9.87,5.98,13.5,7.03,13.15,10.24,4.6,15.51,6.59,14.46
