country,date,indicator,countryiso3code,value,unit,obs_status,decimal,Region
Bangladesh,2011,Account (% age 15+),BGD,31.74,,,0,South Asia
Bangladesh,2014,Account (% age 15+),BGD,30.99,,,0,South Asia
Bangladesh,2017,Account (% age 15+),BGD,50.05,,,0,South Asia
Bangladesh,2021,Account (% age 15+),BGD,52.81,,,0,South Asia
Bangladesh,2022,Account (% age 15+),BGD,..,,,0,South Asia
Bangladesh,2011,"Account, female (% age 15+)",BGD,26.01,,,0,South Asia
Bangladesh,2014,"Account, female (% age 15+)",BGD,26.45,,,0,South Asia
Bangladesh,2017,"Account, female (% age 15+)",BGD,35.84,,,0,South Asia
Bangladesh,2021,"Account, female (% age 15+)",BGD,43.46,,,0,South Asia
Bangladesh,2022,"Account, female (% age 15+)",BGD,..,,,0,South Asia
Bangladesh,2011,"Account, male (% age 15+)",BGD,37.29,,,0,South Asia
Bangladesh,2014,"Account, male (% age 15+)",BGD,35.37,,,0,South Asia
Bangladesh,2017,"Account, male (% age 15+)",BGD,64.59,,,0,South Asia
Bangladesh,2021,"Account, male (% age 15+)",BGD,62.86,,,0,South Asia
Bangladesh,2022,"Account, male (% age 15+)",BGD,..,,,0,South Asia
Bangladesh,2011,"Account, rural (% age 15+)",BGD,..,,,0,South Asia
Bangladesh,2014,"Account, rural (% age 15+)",BGD,..,,,0,South Asia
Bangladesh,2017,"Account, rural (% age 15+)",BGD,..,,,0,South Asia
Bangladesh,2021,"Account, rural (% age 15+)",BGD,49.99,,,0,South Asia
Bangladesh,2022,"Account, rural (% age 15+)",BGD,..,,,0,South Asia
Bangladesh,2011,"Account, urban (% age 15+)",BGD,..,,,0,South Asia
Bangladesh,2014,"Account, urban (% age 15+)",BGD,..,,,0,South Asia
Bangladesh,2017,"Account, urban (% age 15+)",BGD,..,,,0,South Asia
Bangladesh,2021,"Account, urban (% age 15+)",BGD,53.7,,,0,South Asia
Bangladesh,2022,"Account, urban (% age 15+)",BGD,..,,,0,South Asia
Bangladesh,2011,Financial institution account (% age 15+),BGD,31.74,,,0,South Asia
Bangladesh,2014,Financial institution account (% age 15+),BGD,29.14,,,0,South Asia
Bangladesh,2017,Financial institution account (% age 15+),BGD,40.97,,,0,South Asia
Bangladesh,2021,Financial institution account (% age 15+),BGD,37.69,,,0,South Asia
Bangladesh,2022,Financial institution account (% age 15+),BGD,..,,,0,South Asia
Bangladesh,2011,"Financial institution account, female (% age 15+)",BGD,26.01,,,0,South Asia
Bangladesh,2014,"Financial institution account, female (% age 15+)",BGD,25.22,,,0,South Asia
Bangladesh,2017,"Financial institution account, female (% age 15+)",BGD,31.91,,,0,South Asia
Bangladesh,2021,"Financial institution account, female (% age 15+)",BGD,30.58,,,0,South Asia
Bangladesh,2022,"Financial institution account, female (% age 15+)",BGD,..,,,0,South Asia
Bangladesh,2011,"Financial institution account, male (% age 15+)",BGD,37.29,,,0,South Asia
Bangladesh,2014,"Financial institution account, male (% age 15+)",BGD,32.93,,,0,South Asia
Bangladesh,2017,"Financial institution account, male (% age 15+)",BGD,50.24,,,0,South Asia
Bangladesh,2021,"Financial institution account, male (% age 15+)",BGD,45.33,,,0,South Asia
Bangladesh,2022,"Financial institution account, male (% age 15+)",BGD,..,,,0,South Asia
Bangladesh,2011,"Financial institution account, rural (% age 15+)",BGD,..,,,0,South Asia
Bangladesh,2014,"Financial institution account, rural (% age 15+)",BGD,..,,,0,South Asia
Bangladesh,2017,"Financial institution account, rural (% age 15+)",BGD,..,,,0,South Asia
Bangladesh,2021,"Financial institution account, rural (% age 15+)",BGD,30.1,,,0,South Asia
Bangladesh,2022,"Financial institution account, rural (% age 15+)",BGD,..,,,0,South Asia
Bangladesh,2011,"Financial institution account, urban (% age 15+)",BGD,..,,,0,South Asia
Bangladesh,2014,"Financial institution account, urban (% age 15+)",BGD,..,,,0,South Asia
Bangladesh,2017,"Financial institution account, urban (% age 15+)",BGD,..,,,0,South Asia
Bangladesh,2021,"Financial institution account, urban (% age 15+)",BGD,40.08,,,0,South Asia
Bangladesh,2022,"Financial institution account, urban (% age 15+)",BGD,..,,,0,South Asia
Bangladesh,2011,Mobile money account (% age 15+),BGD,..,,,0,South Asia
Bangladesh,2014,Mobile money account (% age 15+),BGD,2.69,,,0,South Asia
Bangladesh,2017,Mobile money account (% age 15+),BGD,21.25,,,0,South Asia
Bangladesh,2021,Mobile money account (% age 15+),BGD,29.01,,,0,South Asia
Bangladesh,2022,Mobile money account (% age 15+),BGD,..,,,0,South Asia
Bangladesh,2011,"Mobile money account, female (% age 15+)",BGD,..,,,0,South Asia
Bangladesh,2014,"Mobile money account, female (% age 15+)",BGD,2.12,,,0,South Asia
