Country Code,year,Account (% age 15+),"Account, female (% age 15+)","Account, male (% age 15+)","Account, rural (% age 15+)","Account, urban (% age 15+)",Financial institution account (% age 15+),"Financial institution account, female (% age 15+)","Financial institution account, male (% age 15+)","Financial institution account, rural (% age 15+)","Financial institution account, urban (% age 15+)",Mobile money account (% age 15+),"Mobile money account, female (% age 15+)","Mobile money account, male (% age 15+)","Mobile money account, rural (% age 15+)","Mobile money account, urban (% age 15+)",Own a mobile phone (% age 15+),Owns a debit or credit card (% age 15+),"Owns a debit or credit card, female (% age 15+)","Owns a debit or credit card, male (% age 15+)","Owns a debit or credit card, rural (% age 15+)","Owns a debit or credit card, urban (% age 15+)"
BGD,2011,31.74,26.01,37.29,,,31.74,26.01,37.29,,,,,,,,,2.49,0.86,4.06,,
BGD,2014,30.99,26.45,35.37,,,29.14,25.22,32.93,,,2.69,2.12,3.24,,,,5.17,2.41,7.83,,
BGD,2017,50.05,35.84,64.59,,,40.97,31.91,50.24,,,21.25,10.27,32.47,,,,6.2,3.7,8.75,,
BGD,2021,52.81,43.46,62.86,49.99,53.7,37.69,30.58,45.33,30.1,40.08,29.01,20.28,38.39,34.06,27.41,78.94,4.94,2.45,7.61,3.96,5.24
BTN,2014,33.67,27.68,38.99,,,33.67,27.68,38.99,,,,,,,,,17.45,15.31,19.36,,
IDN,2011,19.58,19.21,19.97,,,19.58,19.21,19.97,,,,,,,,,10.68,9.52,11.88,,
IDN,2014,36.06,37.46,34.62,,,35.95,37.24,34.62,,,0.45,0.66,0.23,,,,26.21,26.79,25.62,,
IDN,2017,48.86,51.35,46.25,,,48.39,51.14,45.52,,,3.12,2.73,3.53,,,,30.85,32.52,29.1,,
IDN,2021,51.76,52.3,51.18,45.86,54.58,50.51,51.67,49.29,45.21,53.04,9.29,9.91,8.65,4.44,11.62,73.17,35.25,36.71,33.74,29.8,37.87
IND,2011,35.23,26.49,43.74,,,35.23,26.49,43.74,,,,,,,,,9.13,4.94,13.2,,
IND,2014,53.14,43.13,62.76,,,52.75,42.64,62.47,,,2.35,1.17,3.49,,,,22.26,11.61,32.5,,
IND,2017,79.88,76.64,83.01,,,79.84,76.64,82.94,,,1.99,0.86,3.1,,,,33.5,23.24,43.44,,
IND,2021,77.53,77.55,77.51,77.26,77.83,77.3,77.47,77.15,77.03,77.62,10.44,5.12,15.41,7.2,14.17,65.57,27.83,19.74,35.38,20.72,36.02
KHM,2011,3.66,3.71,3.6,,,3.66,3.71,3.6,,,,,,,,,2.95,3.17,2.69,,
KHM,2014,22.17,20.5,24.29,,,12.56,10.68,14.94,,,13.29,12.8,13.92,,,,7.4,6.28,8.84,,
KHM,2017,21.67,21.53,21.85,,,17.8,17.24,18.48,,,5.66,5.34,6.04,,,,7.56,6.93,8.31,,
KHM,2021,33.39,32.52,34.41,27.7,52.56,32.6,31.3,34.12,27.26,50.54,6.6,5.16,8.28,4.31,14.31,81.44,14.79,11.2,18.98,10.59,28.9
LAO,2011,26.77,26.16,27.44,,,26.77,26.16,27.44,,,,,,,,,8.31,8.35,8.27,,
LAO,2017,29.06,31.87,26.12,,,29.06,31.87,26.12,,,,,,,,,12.81,13.65,11.93,,
LAO,2021,37.32,37.85,36.75,30.08,68.84,37.32,37.85,36.75,30.08,68.84,5.48,4.32,6.71,3.62,13.59,82.8,23.45,22.43,24.54,16.02,55.82
LKA,2011,68.53,67.24,69.99,,,68.53,67.24,69.99,,,,,,,,,10.97,8.87,13.36,,
LKA,2014,82.69,83.11,82.23,,,82.69,83.11,82.23,,,0.08,0.05,0.11,,,,24.94,22.29,27.89,,
LKA,2017,73.65,73.44,73.89,,,73.59,73.44,73.77,,,2.42,0.96,4.15,,,,32.44,31.06,34.07,,
LKA,2021,89.27,89.28,89.26,,,88.93,89.24,88.58,,,3.13,1.83,4.53,,,95.94,52.85,44.47,61.89,,
MMR,2014,22.78,17.4,28.6,,,22.62,17.08,28.6,,,0.16,0.32,0.0,,,,1.7,0.93,2.54,,
MMR,2017,25.99,25.98,26.01,,,25.61,25.74,25.46,,,0.69,0.51,0.89,,,,4.88,4.16,5.69,,
MMR,2021,47.79,46.15,49.52,,,36.14,34.85,37.51,,,29.03,27.46,30.68,,,96.17,25.86,26.58,25.11,,
