country,Year,"Access to Electricity, rural (% of Rural Pop.)"
BD,2023,99.6
BD,2022,99.2
BD,2021,98.5
BD,2020,95.2
BD,2019,88.9
BD,2018,81.3
BD,2017,81.6
BD,2016,66.1
BD,2015,63.8
BD,2014,48.1
BD,2013,48.6
BD,2012,53.8
BD,2011,45.7
BD,2010,40.0
BN,2023,100.0
BN,2022,100.0
BN,2021,100.0
BN,2020,100.0
BN,2019,100.0
BN,2018,100.0
BN,2017,100.0
BN,2016,100.0
BN,2015,100.0
BN,2014,100.0
BN,2013,100.0
BN,2012,100.0
BN,2011,100.0
BN,2010,100.0
BT,2023,100.0
BT,2022,100.0
BT,2021,100.0
BT,2020,100.0
BT,2019,100.0
BT,2018,99.9
BT,2017,96.8
BT,2016,99.0
BT,2015,92.6
BT,2014,86.4
BT,2013,80.3
BT,2012,86.9
BT,2011,72.1
BT,2010,59.4
ID,2023,98.6
ID,2022,98.2
ID,2021,98.2
ID,2020,93.5
ID,2019,97.5
ID,2018,96.8
ID,2017,96.0
ID,2016,95.1
