country,Year,Account (% age 15+)
BGD,2022,
BGD,2021,52.81
BGD,2017,50.05
BGD,2014,30.99
BGD,2011,31.74
BTN,2022,
BTN,2021,
BTN,2017,
BTN,2014,33.67
BTN,2011,
IDN,2022,
IDN,2021,51.76
IDN,2017,48.86
IDN,2014,36.06
IDN,2011,19.58
IND,2022,
IND,2021,77.53
IND,2017,79.88
IND,2014,53.14
IND,2011,35.23
KHM,2022,
KHM,2021,33.39
KHM,2017,21.67
KHM,2014,22.17
KHM,2011,3.66
LAO,2022,
LAO,2021,37.32
LAO,2017,29.06
LAO,2014,
LAO,2011,26.77
LKA,2022,
LKA,2021,89.27
LKA,2017,73.65
LKA,2014,82.69
LKA,2011,68.53
MMR,2022,
MMR,2021,47.79
MMR,2017,25.99
MMR,2014,22.78
MMR,2011,
MYS,2022,
MYS,2021,88.37
MYS,2017,85.34
MYS,2014,80.67
MYS,2011,66.17
NPL,2022,
NPL,2021,54.0
NPL,2017,45.39
NPL,2014,33.8
NPL,2011,25.31
