country,Year,"Account, male (% age 15+)"
BGD,2022,
BGD,2021,62.86
BGD,2017,64.59
BGD,2014,35.37
BGD,2011,37.29
BTN,2022,
BTN,2021,
BTN,2017,
BTN,2014,38.99
BTN,2011,
IDN,2022,
IDN,2021,51.18
IDN,2017,46.25
IDN,2014,34.62
IDN,2011,19.97
IND,2022,
IND,2021,77.51
IND,2017,83.01
IND,2014,62.76
IND,2011,43.74
KHM,2022,
KHM,2021,34.41
KHM,2017,21.85
KHM,2014,24.29
KHM,2011,3.6
LAO,2022,
LAO,2021,36.75
LAO,2017,26.12
LAO,2014,
LAO,2011,27.44
LKA,2022,
LKA,2021,89.26
LKA,2017,73.89
LKA,2014,82.23
LKA,2011,69.99
MMR,2022,
MMR,2021,49.52
MMR,2017,26.01
MMR,2014,28.6
MMR,2011,
MYS,2022,
MYS,2021,89.23
MYS,2017,87.92
MYS,2014,83.01
MYS,2011,69.22
NPL,2022,
NPL,2021,58.61
NPL,2017,49.98
NPL,2014,36.72
NPL,2011,29.56
