country,Year,"Fertility rate, total (births per woman)"
BD,2023,2.163
BD,2022,2.179
BD,2021,2.173
BD,2020,2.175
BD,2019,2.18
BD,2018,2.193
BD,2017,2.205
BD,2016,2.227
BD,2015,2.227
BD,2014,2.228
BD,2013,2.247
BD,2012,2.263
BD,2011,2.309
BD,2010,2.38
BN,2023,1.747
BN,2022,1.764
BN,2021,1.778
BN,2020,1.796
BN,2019,1.819
BN,2018,1.848
BN,2017,1.881
BN,2016,1.915
BN,2015,1.947
BN,2014,1.969
BN,2013,1.978
BN,2012,1.973
BN,2011,1.957
BN,2010,1.937
BT,2023,1.462
BT,2022,1.478
BT,2021,1.488
BT,2020,1.502
BT,2019,1.448
BT,2018,1.517
BT,2017,1.621
BT,2016,1.738
BT,2015,1.835
BT,2014,1.923
BT,2013,2.0
BT,2012,2.068
BT,2011,2.155
BT,2010,2.252
ID,2023,2.127
ID,2022,2.149
ID,2021,2.166
ID,2020,2.189
ID,2019,2.205
ID,2018,2.219
ID,2017,2.253
ID,2016,2.311
