country,Year,Financial institution account (% age 15+)
BGD,2022,
BGD,2021,37.69
BGD,2017,40.97
BGD,2014,29.14
BGD,2011,31.74
BTN,2022,
BTN,2021,
BTN,2017,
BTN,2014,33.67
BTN,2011,
IDN,2022,
IDN,2021,50.51
IDN,2017,48.39
IDN,2014,35.95
IDN,2011,19.58
IND,2022,
IND,2021,77.3
IND,2017,79.84
IND,2014,52.75
IND,2011,35.23
KHM,2022,
KHM,2021,32.6
KHM,2017,17.8
KHM,2014,12.56
KHM,2011,3.66
LAO,2022,
LAO,2021,37.32
LAO,2017,29.06
LAO,2014,
LAO,2011,26.77
LKA,2022,
LKA,2021,88.93
LKA,2017,73.59
LKA,2014,82.69
LKA,2011,68.53
MMR,2022,
MMR,2021,36.14
MMR,2017,25.61
MMR,2014,22.62
MMR,2011,
MYS,2022,
MYS,2021,88.17
MYS,2017,85.13
MYS,2014,80.67
MYS,2011,66.17
NPL,2022,
NPL,2021,52.8
NPL,2017,45.39
NPL,2014,33.8
NPL,2011,25.31
