country,Year,Fixed Broadband Subscriptions (per 100 people)
BD,2023,7.51447
BD,2022,7.1702
BD,2021,6.64247
BD,2020,6.04506
BD,2019,4.90289
BD,2018,4.92462
BD,2017,4.50131
BD,2016,4.09944
BD,2015,3.06992
BD,2014,1.95814
BD,2013,0.974448
BD,2012,0.387219
BD,2011,0.305031
BD,2010,0.272381
BN,2023,20.212
BN,2022,19.805
BN,2021,17.581
BN,2020,15.8868
BN,2019,12.2425
BN,2018,11.2953
BN,2017,9.49045
BN,2016,8.44786
BN,2015,8.15349
BN,2014,7.26071
BN,2013,6.70157
BN,2012,4.89426
BN,2011,5.80512
BN,2010,5.53077
BT,2023,1.31882
BT,2022,0.631824
BT,2021,0.364566
BT,2020,0.414153
BT,2019,1.14719
BT,2018,1.42177
BT,2017,2.2148
BT,2016,2.20481
BT,2015,3.76361
BT,2014,3.40713
BT,2013,2.8239
BT,2012,2.33744
BT,2011,1.86544
BT,2010,1.2364
ID,2023,4.81664
ID,2022,4.82152
ID,2021,4.48746
ID,2020,3.92994
ID,2019,3.77423
ID,2018,3.2873
ID,2017,2.32504
ID,2016,1.97538
