country,Year,"GDP per capita, PPP (constant 2021 international $)"
BD,2023,8242.39798977242
BD,2022,7888.16389098304
BD,2021,7441.06913961254
BD,2020,7015.19792797056
BD,2019,6838.32611608243
BD,2018,6392.59334024091
BD,2017,6005.70718781048
BD,2016,5682.53553494306
BD,2015,5352.71133299566
BD,2014,5068.63965672741
BD,2013,4822.72621378266
BD,2012,4592.04840919812
BD,2011,4352.42643359325
BD,2010,4125.46390163202
BN,2023,76828.3998314969
BN,2022,76357.8291017772
BN,2021,78248.7971101454
BN,2020,80280.8979480569
BN,2019,80228.159656274
BN,2018,78099.0507722008
BN,2017,78966.8642961288
BN,2016,78880.6229079102
BN,2015,81910.1883952688
BN,2014,83310.6150641982
BN,2013,86606.6517156585
BN,2012,89718.4636612666
BN,2011,90279.6633402819
BN,2010,88586.5131929201
BT,2023,
BT,2022,14061.3120213689
BT,2021,13458.8126642925
BT,2020,12979.9369446336
BT,2019,14555.1883979698
BT,2018,13854.8543922424
BT,2017,13482.3425253264
BT,2016,13320.9758970472
BT,2015,12400.2983217758
BT,2014,11744.5189049643
BT,2013,11212.4794211376
BT,2012,11143.94452973
BT,2011,10714.6865627638
BT,2010,9985.28455357031
ID,2023,13889.8828825663
ID,2022,13334.293520304
ID,2021,12757.0746440204
ID,2020,12388.5449268131
ID,2019,12757.7850854842
ID,2018,12262.2310300771
ID,2017,11772.5743296107
ID,2016,11319.6634287738
