country,Year,"Life expectancy at birth, total (years)"
BD,2023,74.672
BD,2022,74.265
BD,2021,71.103
BD,2020,71.421
BD,2019,72.625
BD,2018,72.122
BD,2017,71.606
BD,2016,71.075
BD,2015,70.543
BD,2014,70.016
BD,2013,69.487
BD,2012,68.989
BD,2011,68.499
BD,2010,68.009
BN,2023,75.327
BN,2022,72.917
BN,2021,74.869
BN,2020,75.114
BN,2019,75.049
BN,2018,74.992
BN,2017,74.943
BN,2016,74.905
BN,2015,74.88
BN,2014,74.862
BN,2013,74.854
BN,2012,74.843
BN,2011,74.835
BN,2010,74.82
BT,2023,72.975
BT,2022,72.754
BT,2021,72.448
BT,2020,72.253
BT,2019,72.005
BT,2018,71.711
BT,2017,71.413
BT,2016,71.119
BT,2015,70.797
BT,2014,70.504
BT,2013,70.161
BT,2012,69.759
BT,2011,69.28
BT,2010,68.765
ID,2023,71.146
ID,2022,70.925
ID,2021,67.452
ID,2020,68.817
ID,2019,70.349
ID,2018,70.08
ID,2017,69.953
ID,2016,69.733
