country,Year,Mobile Cellular Subscriptions (per 100 people)
BD,2023,
BD,2022,105.2642491
BD,2021,108.9094426
BD,2020,105.2911628
BD,2019,100.0336994
BD,2018,98.83168698
BD,2017,93.29458051
BD,2016,85.10324101
BD,2015,83.23875309
BD,2014,81.34459807
BD,2013,75.66900657
BD,2012,63.89610407
BD,2011,56.1667898
BD,2010,45.77354649
BN,2023,
BN,2022,117.7551548
BN,2021,135.501254
BN,2020,121.4758051
BN,2019,131.2182683
BN,2018,130.3207192
BN,2017,126.6006005
BN,2016,122.8780218
BN,2015,109.9533264
BN,2014,108.4957375
BN,2013,113.8721697
BN,2012,115.5191155
BN,2011,110.3746893
BN,2010,109.8603214
BT,2023,
BT,2022,94.89274144
BT,2021,100.0671395
BT,2020,96.4571149
BT,2019,95.0199294
BT,2018,92.31829061
BT,2017,96.62766062
BT,2016,93.14595832
BT,2015,90.91492505
BT,2014,84.81429524
BT,2013,74.68047217
BT,2012,77.77759289
BT,2011,67.8772798
BT,2010,55.89044047
ID,2023,
ID,2022,114.9005566
ID,2021,133.6505363
ID,2020,130.8110952
ID,2019,126.5946679
ID,2018,119.6084851
ID,2017,164.5351584
ID,2016,147.24962
