country,Year,Mobile money account (% age 15+)
BGD,2022,
BGD,2021,29.01
BGD,2017,21.25
BGD,2014,2.69
BGD,2011,
BTN,2022,
BTN,2021,
BTN,2017,
BTN,2014,
BTN,2011,
IDN,2022,
IDN,2021,9.29
IDN,2017,3.12
IDN,2014,0.45
IDN,2011,
IND,2022,
IND,2021,10.44
IND,2017,1.99
IND,2014,2.35
IND,2011,
KHM,2022,
KHM,2021,6.6
KHM,2017,5.66
KHM,2014,13.29
KHM,2011,
LAO,2022,
LAO,2021,5.48
LAO,2017,
LAO,2014,
LAO,2011,
LKA,2022,
LKA,2021,3.13
LKA,2017,2.42
LKA,2014,0.08
LKA,2011,
MMR,2022,
MMR,2021,29.03
MMR,2017,0.69
MMR,2014,0.16
MMR,2011,
MYS,2022,
MYS,2021,27.98
MYS,2017,10.88
MYS,2014,2.83
MYS,2011,
NPL,2022,
NPL,2021,6.09
NPL,2017,
NPL,2014,0.34
NPL,2011,
