country,Year,"Mobile money account, female (% age 15+)"
BGD,2022,
BGD,2021,20.28
BGD,2017,10.27
BGD,2014,2.12
BGD,2011,
BTN,2022,
BTN,2021,
BTN,2017,
BTN,2014,
BTN,2011,
IDN,2022,
IDN,2021,9.91
IDN,2017,2.73
IDN,2014,0.66
IDN,2011,
IND,2022,
IND,2021,5.12
IND,2017,0.86
IND,2014,1.17
IND,2011,
KHM,2022,
KHM,2021,5.16
KHM,2017,5.34
KHM,2014,12.8
KHM,2011,
LAO,2022,
LAO,2021,4.32
LAO,2017,
LAO,2014,
LAO,2011,
LKA,2022,
LKA,2021,1.83
LKA,2017,0.96
LKA,2014,0.05
LKA,2011,
MMR,2022,
MMR,2021,27.46
MMR,2017,0.51
MMR,2014,0.32
MMR,2011,
MYS,2022,
MYS,2021,29.0
MYS,2017,8.74
MYS,2014,2.55
MYS,2011,
NPL,2022,
NPL,2021,3.69
NPL,2017,
NPL,2014,0.28
NPL,2011,
