country,Year,"Mobile money account, male (% age 15+)"
BGD,2022,
BGD,2021,38.39
BGD,2017,32.47
BGD,2014,3.24
BGD,2011,
BTN,2022,
BTN,2021,
BTN,2017,
BTN,2014,
BTN,2011,
IDN,2022,
IDN,2021,8.65
IDN,2017,3.53
IDN,2014,0.23
IDN,2011,
IND,2022,
IND,2021,15.41
IND,2017,3.1
IND,2014,3.49
IND,2011,
KHM,2022,
KHM,2021,8.28
KHM,2017,6.04
KHM,2014,13.92
KHM,2011,
LAO,2022,
LAO,2021,6.71
LAO,2017,
LAO,2014,
LAO,2011,
LKA,2022,
LKA,2021,4.53
LKA,2017,4.15
LKA,2014,0.11
LKA,2011,
MMR,2022,
MMR,2021,30.68
MMR,2017,0.89
MMR,2014,0.0
MMR,2011,
MYS,2022,
MYS,2021,26.96
MYS,2017,12.79
MYS,2014,3.08
MYS,2011,
NPL,2022,
NPL,2021,8.8
NPL,2017,
NPL,2014,0.4
NPL,2011,
