country,Year,"Mortality rate, infant (per 1,000 live births)"
BD,2023,24.4
BD,2022,24.4
BD,2021,24.5
BD,2020,24.9
BD,2019,25.4
BD,2018,26.3
BD,2017,27.4
BD,2016,28.6
BD,2015,30.0
BD,2014,31.4
BD,2013,32.7
BD,2012,34.1
BD,2011,35.4
BD,2010,36.9
BN,2023,8.2
BN,2022,8.3
BN,2021,8.4
BN,2020,8.5
BN,2019,8.5
BN,2018,8.6
BN,2017,8.6
BN,2016,8.6
BN,2015,8.5
BN,2014,8.5
BN,2013,8.4
BN,2012,8.3
BN,2011,8.2
BN,2010,8.1
BT,2023,18.5
BT,2022,19.1
BT,2021,19.8
BT,2020,20.3
BT,2019,21.1
BT,2018,21.8
BT,2017,22.6
BT,2016,23.4
BT,2015,24.4
BT,2014,25.4
BT,2013,26.5
BT,2012,27.9
BT,2011,29.5
BT,2010,31.4
ID,2023,17.0
ID,2022,17.5
ID,2021,18.0
ID,2020,18.6
ID,2019,19.3
ID,2018,19.9
ID,2017,20.7
ID,2016,21.5
