country,Year,Owns a debit or credit card (% age 15+)
BGD,2022,
BGD,2021,4.94
BGD,2017,6.2
BGD,2014,5.17
BGD,2011,2.49
BTN,2022,
BTN,2021,
BTN,2017,
BTN,2014,17.45
BTN,2011,
IDN,2022,
IDN,2021,35.25
IDN,2017,30.85
IDN,2014,26.21
IDN,2011,10.68
IND,2022,
IND,2021,27.83
IND,2017,33.5
IND,2014,22.26
IND,2011,9.13
KHM,2022,
KHM,2021,14.79
KHM,2017,7.56
KHM,2014,7.4
KHM,2011,2.95
LAO,2022,
LAO,2021,23.45
LAO,2017,12.81
LAO,2014,
LAO,2011,8.31
LKA,2022,
LKA,2021,52.85
LKA,2017,32.44
LKA,2014,24.94
LKA,2011,10.97
MMR,2022,
MMR,2021,25.86
MMR,2017,4.88
MMR,2014,1.7
MMR,2011,
MYS,2022,
MYS,2021,83.57
MYS,2017,75.49
MYS,2014,48.19
MYS,2011,27.97
NPL,2022,
NPL,2021,14.18
NPL,2017,9.11
NPL,2014,6.95
NPL,2011,4.07
