country,Year,"Owns a debit or credit card, female (% age 15+)"
BGD,2022,
BGD,2021,2.45
BGD,2017,3.7
BGD,2014,2.41
BGD,2011,0.86
BTN,2022,
BTN,2021,
BTN,2017,
BTN,2014,15.31
BTN,2011,
IDN,2022,
IDN,2021,36.71
IDN,2017,32.52
IDN,2014,26.79
IDN,2011,9.52
IND,2022,
IND,2021,19.74
IND,2017,23.24
IND,2014,11.61
IND,2011,4.94
KHM,2022,
KHM,2021,11.2
KHM,2017,6.93
KHM,2014,6.28
KHM,2011,3.17
LAO,2022,
LAO,2021,22.43
LAO,2017,13.65
LAO,2014,
LAO,2011,8.35
LKA,2022,
LKA,2021,44.47
LKA,2017,31.06
LKA,2014,22.29
LKA,2011,8.87
MMR,2022,
MMR,2021,26.58
MMR,2017,4.16
MMR,2014,0.93
MMR,2011,
MYS,2022,
MYS,2021,82.63
MYS,2017,68.76
MYS,2014,44.59
MYS,2011,24.8
NPL,2022,
NPL,2021,11.32
NPL,2017,5.98
NPL,2014,4.61
NPL,2011,2.02
