country,Year,Population density (people per sq. km of land area)
BD,2023,
BD,2022,1301.25909963893
BD,2021,1287.99918568026
BD,2020,1277.54493354844
BD,2019,1266.90523930245
BD,2018,1256.22726434662
BD,2017,1245.95641852962
BD,2016,1235.3993393255
BD,2015,1224.42328493508
BD,2014,1213.52791733886
BD,2013,1202.52086502266
BD,2012,1191.28909118845
BD,2011,1179.92683413997
BD,2010,1169.25544288238
BN,2023,
BN,2022,86.4079696394687
BN,2021,85.715559772296
BN,2020,84.896394686907
BN,2019,84.0
BN,2018,83.0759013282732
BN,2017,82.1199240986717
BN,2016,81.1316888045541
BN,2015,80.1161290322581
BN,2014,79.0796963946869
BN,2013,78.026944971537
BN,2012,76.9557874762808
BN,2011,75.7853889943074
BN,2010,74.4462998102467
BT,2023,
BT,2022,20.4749344520189
BT,2021,20.3314630309386
BT,2020,20.1889355007866
BT,2019,20.0530676455165
BT,2018,19.920267435763
BT,2017,19.7759804949664
BT,2016,19.6063863255034
BT,2015,19.4301230422121
BT,2014,19.2339113781252
BT,2013,19.0275467639111
BT,2012,18.8178240680012
BT,2011,18.6105149933101
BT,2010,18.407324815699
ID,2023,
ID,2022,147.330175215419
ID,2021,146.235107708626
ID,2020,146.371283592869
ID,2019,145.132688936836
ID,2018,143.781152680745
ID,2017,142.393583234045
ID,2016,140.945267664402
