country,Year,Population growth (annual %)
BD,2023,1.22171475464107
BD,2022,1.02423384746683
BD,2021,0.814977993693211
BD,2020,0.836310836229073
BD,2019,0.84641125179804
BD,2018,0.820955197842845
BD,2017,0.850917315689336
BD,2016,0.892432416039535
BD,2015,0.89381937776758
BD,2014,0.911167733810249
BD,2013,0.938408350120779
BD,2012,0.958355912717609
BD,2011,0.908525895582217
BD,2010,0.876530534249878
BN,2023,0.782881746925984
BN,2022,0.804554269312164
BN,2021,0.96027430523198
BN,2020,1.06148281648515
BN,2019,1.10621350885567
BN,2018,1.15739958778106
BN,2017,1.2107045656128
BN,2016,1.25964272152269
BN,2015,1.30210359279592
BN,2014,1.34019436885468
BN,2013,1.38231470645459
BN,2012,1.53255515873327
BN,2011,1.78274591747739
BN,2010,1.89897689252094
BT,2023,0.698146584889649
BT,2022,0.703183917780367
BT,2021,0.703488233671584
BT,2020,0.675256502719854
BT,2019,0.66444642692507
BT,2018,0.716471130925301
BT,2017,0.86127488782821
BT,2016,0.973884473914115
BT,2015,1.01496572424441
BT,2014,1.07871798585886
BT,2013,1.10832494505463
BT,2012,1.10777662014052
BT,2011,1.0978069996978
BT,2010,1.0954380761045
ID,2023,0.842666137328498
ID,2022,0.746050469653246
ID,2021,0.704601321926319
ID,2020,0.849801187379341
ID,2019,0.935604959235128
ID,2018,0.969743409524713
ID,2017,1.02232939771064
ID,2016,1.0744882002252
