country,Year,"Population, total"
BD,2023,171466990
BD,2022,169384897
BD,2021,167658854
BD,2020,166298024
BD,2019,164913055
BD,2018,163523103
BD,2017,162186147
BD,2016,160811932
BD,2015,159383179
BD,2014,157964929
BD,2013,156532141
BD,2012,155070101
BD,2011,153591076
BD,2010,152201981
BN,2023,458949
BN,2022,455370
BN,2021,451721
BN,2020,447404
BN,2019,442680
BN,2018,437810
BN,2017,432772
BN,2016,427564
BN,2015,422212
BN,2014,416750
BN,2013,411202
BN,2012,405557
BN,2011,399389
BN,2010,392332
BT,2023,786385
BT,2022,780914
BT,2021,775442
BT,2020,770006
BT,2019,764824
BT,2018,759759
BT,2017,754335
BT,2016,747866
BT,2015,740618
BT,2014,733139
BT,2013,725273
BT,2012,717279
BT,2011,709377
BT,2010,701632
ID,2023,281190067
ID,2022,278830529
ID,2021,276758053
ID,2020,274814866
ID,2019,272489381
ID,2018,269951846
ID,2017,267346658
ID,2016,264627418
