country,Year,Poverty headcount ratio at national poverty lines (% of population)
BD,2023,
BD,2022,18.7
BD,2021,
BD,2020,
BD,2019,
BD,2018,
BD,2017,
BD,2016,
BD,2015,
BD,2014,
BD,2013,
BD,2012,
BD,2011,
BD,2010,
BN,2023,
BN,2022,
BN,2021,
BN,2020,
BN,2019,
BN,2018,
BN,2017,
BN,2016,
BN,2015,
BN,2014,
BN,2013,
BN,2012,
BN,2011,
BN,2010,
BT,2023,
BT,2022,12.4
BT,2021,
BT,2020,
BT,2019,
BT,2018,
BT,2017,
BT,2016,
BT,2015,
BT,2014,
BT,2013,
BT,2012,
BT,2011,
BT,2010,
ID,2023,9.4
ID,2022,9.5
ID,2021,10.1
ID,2020,9.8
ID,2019,9.4
ID,2018,9.8
ID,2017,10.6
ID,2016,10.9
