country,Year,Rural population (% of total population)
BD,2023,59.527
BD,2022,60.289
BD,2021,61.054
BD,2020,61.823
BD,2019,62.595
BD,2018,63.368
BD,2017,64.142
BD,2016,64.917
BD,2015,65.692
BD,2014,66.465
BD,2013,67.238
BD,2012,68.007
BD,2011,68.775
BD,2010,69.538
BN,2023,20.851
BN,2022,21.146
BN,2021,21.446
BN,2020,21.75
BN,2019,22.058
BN,2018,22.371
BN,2017,22.688
BN,2016,23.01
BN,2015,23.337
BN,2014,23.668
BN,2013,24.003
BN,2012,24.344
BN,2011,24.69
BN,2010,25.039
BT,2023,55.65
BT,2022,56.314
BT,2021,56.992
BT,2020,57.684
BT,2019,58.388
BT,2018,59.105
BT,2017,59.833
BT,2016,60.572
BT,2015,61.322
BT,2014,62.082
BT,2013,62.851
BT,2012,63.629
BT,2011,64.415
BT,2010,65.207
ID,2023,41.428
ID,2022,42.066
ID,2021,42.71
ID,2020,43.359
ID,2019,44.015
ID,2018,44.675
ID,2017,45.341
ID,2016,46.011
