country,Year,Urban population (% of total population)
BD,2023,40.473
BD,2022,39.711
BD,2021,38.946
BD,2020,38.177
BD,2019,37.405
BD,2018,36.632
BD,2017,35.858
BD,2016,35.083
BD,2015,34.308
BD,2014,33.535
BD,2013,32.762
BD,2012,31.993
BD,2011,31.225
BD,2010,30.462
BN,2023,79.149
BN,2022,78.854
BN,2021,78.554
BN,2020,78.25
BN,2019,77.942
BN,2018,77.629
BN,2017,77.312
BN,2016,76.99
BN,2015,76.663
BN,2014,76.332
BN,2013,75.997
BN,2012,75.656
BN,2011,75.31
BN,2010,74.961
BT,2023,44.35
BT,2022,43.686
BT,2021,43.008
BT,2020,42.316
BT,2019,41.612
BT,2018,40.895
BT,2017,40.167
BT,2016,39.428
BT,2015,38.678
BT,2014,37.918
BT,2013,37.149
BT,2012,36.371
BT,2011,35.585
BT,2010,34.793
ID,2023,58.572
ID,2022,57.934
ID,2021,57.29
ID,2020,56.641
ID,2019,55.985
ID,2018,55.325
ID,2017,54.659
ID,2016,53.989
