,Mobile Cellular Subscriptions (per 100 people),Fixed Broadband Subsciptions (per 100 people),Made a digital in-store merchant payment: using a mobile phone (% age 15+),Made a utility payment: using a mobile phone (% age 15+),Own a mobile phone (% age 15+),"Use a mobile phone or the internet to make payments, buy things, or to send or receive money using a financial institution account (% age 15+)","Use a mobile phone or the internet to make payments, buy things, or to send or receive money using a financial institution account (% with a financial institution account, age 15+)",Used a mobile phone or the internet to access a financial institution account (% age 15+),"Used a mobile phone or the internet to access a financial institution account (% with a financial institution account, age 15+)","Used a mobile phone or the internet to access an account (% with an account, age 15+)",Used a mobile phone or the internet to access an account(% age 15+),Used a mobile phone or the internet to buy something online (% age 15+),Used a mobile phone or the internet to check account balance(% age 15+),"Used a mobile phone or the internet to check account balance(% with a financial institution account, age 15+)",Used a mobile phone or the internet to send money (% age 15+),"GDP per capita, PPP (constant 2021 international $)",Population density (people per sq. km of land area),Population growth (annual %),"Population, total","Agriculture, forestry, and fishing, value added (percent of GDP)",Food supply quantity (kg/capita/yr)_Cereals - Excluding Beer,Food supply quantity (kg/capita/yr)_Starchy Roots,Crop production index (2014-2016 = 100),foodSupply_stability,rolling_std,Rural Access to Electricity(Percent of Population),"Fertility rate, total (births per woman)","Life expectancy at birth, total (years)","Mortality rate, infant (per 1,000 live births)",Rural population (% of total population),Urban population (% of total population)
Mobile Cellular Subscriptions (per 100 people),1.0,0.6575489198115217,0.5501049577429182,0.4648579131365687,0.5287470762303432,0.596317915564531,0.5316144156411036,0.4598859804740348,0.49431143253721965,0.13941578522342324,0.32220286063693293,0.6305179038552851,0.6001646407648799,0.5965309084819377,0.5340942492489976,0.5414243372143387,-0.15599764055505516,-0.27766201608374647,-0.26368776097383656,-0.5524058318319459,0.15982441451123042,-0.1241267752149405,0.1302245521816311,-0.20070288960227306,-0.20070288960227306,0.3600415356483268,-0.5626121694081401,0.6309944741301858,-0.7441465882319115,-0.32326462154432295,0.3232646215443234
Fixed Broadband Subsciptions (per 100 people),0.6575489198115217,1.0,0.6756456902567676,0.710975118131691,0.5687389732677564,0.7381842151017927,0.6847864485420789,0.5891140866433222,0.7212530331891764,0.31287056992288326,0.49672277570251583,0.8144742538986094,0.8475140754843123,0.8180596251148571,0.7092899465599497,0.6289221789942765,0.05470417371356542,-0.2732772393347853,-0.17700881044442185,-0.6015066396122699,0.048820345803019104,-0.37864078487079267,0.14395687121576367,-0.18706466093509486,-0.18706466093509486,0.49225578722879193,-0.5491116062820951,0.737692988758112,-0.6325755874753546,-0.3957275938584339,0.39572759385843437
Made a digital in-store merchant payment: using a mobile phone (% age 15+),0.5501049577429182,0.6756456902567676,1.0,0.5295117782815222,0.5937395607142776,0.9732727971169225,0.8400883153370059,0.6472747715553357,0.550402006839148,0.04949347956073742,0.4305065495708753,0.6802467514673727,0.7383054193388835,0.5418963084899204,0.9318019128199302,0.7083097501488241,-0.22193136757883647,-0.36581496753889214,-0.10451792967773862,-0.4859461143854211,-0.18327504865374492,-0.36213005910227414,-0.09921138857378187,-0.05527151930545344,-0.05527151930545344,0.3399362373366873,-0.6359800162081903,0.6448823325612811,-0.5253319646831899,-0.4798057202249773,0.4798057202249774
Made a utility payment: using a mobile phone (% age 15+),0.4648579131365687,0.710975118131691,0.5295117782815222,1.0,0.261404106191705,0.5384053842727646,0.42452022902919084,0.527807626765399,0.49291171859808314,0.27105499125015736,0.4947918248569111,0.7849918861794778,0.8198031347517482,0.6312494362659047,0.5173289867283142,0.5804763509540618,0.07350628754216812,-0.24245002098504229,-0.04973437075206768,-0.4504850165772195,-0.13349833572340222,-0.24610504976827044,0.16828041839636784,-0.19938934623812107,-0.19938934623812107,0.36173844036385605,-0.4100863256876654,0.44801001457883516,-0.38989078254913134,-0.5128763157862788,0.5128763157862791
Own a mobile phone (% age 15+),0.5287470762303432,0.5687389732677564,0.5937395607142776,0.261404106191705,1.0,0.660172802224749,0.7602576911756768,0.3526956598121485,0.35194364622706537,-0.07475914023796612,0.1858527787704836,0.555528543030252,0.5087699190333362,0.547023316666124,0.7077892749345459,0.45829268684224794,-0.2217888262893887,-0.3612840430654142,-0.567142827585774,-0.39445108256629174,0.3969785410451595,-0.19505824097010604,-0.22997970080492666,0.04908955816416784,0.04908955816416784,-0.0015001228426789839,-0.6280220031070995,0.5252480484138161,-0.5918634005077155,-0.11316598464374507,0.11316598464374511
"Use a mobile phone or the internet to make payments, buy things, or to send or receive money using a financial institution account (% age 15+)",0.596317915564531,0.7381842151017927,0.9732727971169225,0.5384053842727646,0.660172802224749,1.0,0.8966276912180396,0.7495982156555386,0.6803942194117476,0.09469245676164682,0.49444063130186255,0.7699847163624882,0.8060097001595434,0.6412941923141738,0.9323589731576554,0.7985255025039723,-0.2601952544873384,-0.3188353314008807,-0.1416546683617338,-0.5237344063600047,-0.16126457898582822,-0.4054994878278255,-0.12137434791248587,-0.0433257412054161,-0.0433257412054161,0.36064692894974826,-0.6635371633003965,0.7013941126317366,-0.6027836388378939,-0.5453004701169403,0.5453004701169405
"Use a mobile phone or the internet to make payments, buy things, or to send or receive money using a financial institution account (% with a financial institution account, age 15+)",0.5316144156411036,0.6847864485420789,0.8400883153370059,0.42452022902919084,0.7602576911756768,0.8966276912180396,1.0,0.5370632628544478,0.5887963447397944,0.0403772157921935,0.28017896092232414,0.7593889541621561,0.6920578420660386,0.7068392544628517,0.9153425155207351,0.6082948431059747,-0.3389672552605754,-0.23474612621286206,-0.26108485048204194,-0.35911630472722983,-0.002711466787690774,-0.42357539667074895,-0.20024640900627136,0.028795885743511815,0.028795885743511815,0.18572134586940361,-0.5451034143877317,0.4705470984066742,-0.4385826130772085,-0.4924162399578849,0.49241623995788514
Used a mobile phone or the internet to access a financial institution account (% age 15+),0.4598859804740348,0.5891140866433222,0.6472747715553357,0.527807626765399,0.3526956598121485,0.7495982156555386,0.5370632628544478,1.0,0.8717508945665366,0.34679936800671096,0.8260134301108125,0.7043293680908781,0.750377280817121,0.4892453103458417,0.5907644034967114,0.9413004989951143,-0.08038975473460905,-0.06842547885922767,-0.07273364675362844,-0.5881290780652372,-0.27311061244210394,-0.3508115605329095,-0.058397264882214556,-0.02643728656525888,-0.02643728656525888,0.4388389103871477,-0.5049174143175492,0.7007378791564622,-0.6214973237040177,-0.7460483562865794,0.7460483562865797
"Used a mobile phone or the internet to access a financial institution account (% with a financial institution account, age 15+)",0.49431143253721965,0.7212530331891764,0.550402006839148,0.49291171859808314,0.35194364622706537,0.6803942194117476,0.5887963447397944,0.8717508945665366,1.0,0.5792153498526417,0.7895839267398318,0.7374180639666774,0.7031604519152275,0.6467619756469632,0.5803792396792093,0.8095785236598616,0.029232805910127155,0.03747896418905633,-0.18147161045715962,-0.6044791971640086,-0.11566421994836501,-0.39907770218434346,-0.0566994237063024,-0.01755595157471291,-0.01755595157471291,0.523576895217598,-0.3721370220952529,0.6888368707245571,-0.5870473586021581,-0.7281647754978802,0.7281647754978804
"Used a mobile phone or the internet to access an account (% with an account, age 15+)",0.13941578522342324,0.31287056992288326,0.04949347956073742,0.27105499125015736,-0.07475914023796612,0.09469245676164682,0.0403772157921935,0.34679936800671096,0.5792153498526417,1.0,0.7288204448216408,0.17382327897147204,0.1720052844438467,0.2112987252549785,0.16411595349785096,0.22639425371824484,0.5294485545569314,0.2218066060617235,-0.21645146229916765,-0.293544466186761,-0.10417721552203893,-0.11611603040152026,0.10697815634318412,-0.007674698913447091,-0.007674698913447091,0.15119417472631383,0.17384612476920008,0.3032375930907969,-0.11802773662954016,-0.343596431635489,0.3435964316354888
