country,year,"Value US$, 2015 prices_Value Added (Agriculture, Forestry and Fishing)","Value US$, 2015 prices_Value Added (Manufacture of food and beverages)","Value US$, 2015 prices_Credit to Agriculture, Forestry and Fishing",Use per area of cropland_Nutrient nitrogen N (total)
Afghanistan,2010,4471.12805,,11.894427,1.63
Afghanistan,2011,4684.765115,,11.575633,2.9
Afghanistan,2012,4841.184846,,14.524064,2.16
Afghanistan,2013,5246.163766,,19.018687,4.41
Afghanistan,2014,5447.055032,,17.388845,9.34
Afghanistan,2015,4532.803266,,17.675774,11.7
Afghanistan,2016,5098.345515,,20.133434,12.22
Afghanistan,2017,5279.400271,,26.330719,17.8
Afghanistan,2018,5294.034264,,25.250709,15.06
Afghanistan,2019,6748.886698,,21.509838,7.45
Afghanistan,2020,7044.164226,,19.864912,5.36
Afghanistan,2021,6355.196584,,,4.14
Afghanistan,2022,5938.040493,,,3.23
Afghanistan,2023,6060.414433,,,
Afghanistan,2024,5997.047612,,,
Bangladesh,2010,25552.292819,,2794.198196,135.03
Bangladesh,2011,27062.841538,,3271.100803,149.49
Bangladesh,2012,28266.98254,3669.694917,3213.392664,132.6
Bangladesh,2013,29367.259943,,3296.803356,130.67
Bangladesh,2014,31078.190269,,3524.70497,144.75
Bangladesh,2015,32559.969107,,3778.212713,154.28
Bangladesh,2016,33933.426983,,4130.25207,136.41
Bangladesh,2017,35017.947008,,4323.608872,144.45
Bangladesh,2018,36259.168433,8075.724265,4762.082962,154.68
Bangladesh,2019,37441.425058,,4957.591367,150.93
Bangladesh,2020,38722.278287,9224.303917,4861.044882,154.23
Bangladesh,2021,39951.548341,,5184.469024,173.31
Bangladesh,2022,41171.65052,,5827.916712,171.18
Bangladesh,2023,42559.728564,,6122.73632,
Bangladesh,2024,43898.299794,,,
Bhutan,2010,228.278424,,10.655241,6.07
Bhutan,2011,233.698059,,13.788605,7.5
Bhutan,2012,239.349824,,20.394189,6.89
Bhutan,2013,243.779096,,26.59748,6.73
Bhutan,2014,249.499096,,36.919514,7.89
Bhutan,2015,262.430047,,54.361563,8.17
Bhutan,2016,274.459527,,66.55666,8.05
Bhutan,2017,283.057228,,72.02791,7.9
Bhutan,2018,291.183012,,79.122159,15.08
Bhutan,2019,296.216282,,85.10715,8.02
Bhutan,2020,308.064952,,85.779739,8.54
