Area,Year,"Value US$, 2015 prices_Credit to Agriculture, Forestry and Fishing"
Afghanistan,2010,11.894427
Afghanistan,2011,11.575633
Afghanistan,2012,14.524064
Afghanistan,2013,19.018687
Afghanistan,2014,17.388845
Afghanistan,2015,17.675774
Afghanistan,2016,20.133434
Afghanistan,2017,26.330719
Afghanistan,2018,25.250709
Afghanistan,2019,21.509838
Afghanistan,2020,19.864912
Bangladesh,2010,2794.198196
Bangladesh,2011,3271.100803
Bangladesh,2012,3213.392664
Bangladesh,2013,3296.803356
Bangladesh,2014,3524.70497
Bangladesh,2015,3778.212713
Bangladesh,2016,4130.25207
Bangladesh,2017,4323.608872
Bangladesh,2018,4762.082962
Bangladesh,2019,4957.591367
Bangladesh,2020,4861.044882
Bangladesh,2021,5184.469024
Bangladesh,2022,5827.916712
Bangladesh,2023,6122.73632
Bhutan,2010,10.655241
Bhutan,2011,13.788605
Bhutan,2012,20.394189
Bhutan,2013,26.59748
Bhutan,2014,36.919514
Bhutan,2015,54.361563
Bhutan,2016,66.55666
Bhutan,2017,72.02791
Bhutan,2018,79.122159
Bhutan,2019,85.10715
Bhutan,2020,85.779739
Bhutan,2021,79.381617
Bhutan,2022,57.475975
Bhutan,2023,54.87033
Cambodia,2010,239.660505
Cambodia,2011,411.772325
Cambodia,2012,591.808333
Cambodia,2013,741.766174
Cambodia,2014,970.962032
Cambodia,2015,1223.686074
Cambodia,2016,1458.662745
Cambodia,2017,1625.968197
Cambodia,2018,1679.807083
Cambodia,2019,1706.541273
Cambodia,2020,2142.095004
Cambodia,2021,2758.956887
Cambodia,2022,3218.642022
Cambodia,2023,3878.954331
India,2010,80131.349344
India,2011,87048.97562
India,2012,81989.202075
India,2013,111396.81609
India,2014,115140.92509
India,2015,126492.12846
India,2016,131844.37421
India,2017,144301.16509
India,2018,156983.89967
India,2019,160981.73002
India,2020,164078.3932
India,2021,165431.14971
India,2022,170748.05728
India,2023,198984.27664
Indonesia,2010,8617.822093
Indonesia,2011,10084.139178
Indonesia,2012,12605.215765
Indonesia,2013,15253.493806
Indonesia,2014,17232.665761
Indonesia,2015,19857.177552
Indonesia,2016,21722.859242
Indonesia,2017,23221.396078
Indonesia,2018,25013.519392
Indonesia,2019,25769.775991
Indonesia,2020,26973.740417
Indonesia,2021,27574.871028
Indonesia,2022,27795.65477
Indonesia,2023,29726.102052
Iran (Islamic Republic of),2010,21833.113097
Iran (Islamic Republic of),2011,20736.776978
Iran (Islamic Republic of),2012,19325.57626
Iran (Islamic Republic of),2013,17199.000378
Iran (Islamic Republic of),2014,18378.065843
Iran (Islamic Republic of),2015,20691.800783
Iran (Islamic Republic of),2016,21406.172492
Malaysia,2010,5631.52623
Malaysia,2011,5876.495451
Malaysia,2012,7568.054798
Malaysia,2013,8350.033173
Malaysia,2014,7986.966197
Malaysia,2015,9552.810008
Malaysia,2016,9120.51492
Malaysia,2017,8780.497719
Malaysia,2018,8452.882803
Malaysia,2019,8661.744116
Malaysia,2020,8261.9859
Malaysia,2021,8520.279732
Malaysia,2022,7914.684667
Malaysia,2023,7735.950104
Maldives,2010,86.507812
Maldives,2011,66.225735
Maldives,2012,44.103347
Maldives,2013,40.522789
Maldives,2014,28.475092
Maldives,2015,29.614095
Maldives,2016,33.887286
Maldives,2017,32.070412
Maldives,2018,28.842504
Maldives,2019,27.20689
Maldives,2020,22.295723
Maldives,2021,18.540822
Maldives,2022,17.55257
Maldives,2023,15.923542
Nepal,2010,201.562223
