Area,Year,"Value US$, 2015 prices_Value Added (Agriculture, Forestry and Fishing)","Value US$, 2015 prices_Value Added (Manufacture of food and beverages)"
Afghanistan,2010,4471.12805,
Afghanistan,2011,4684.765115,
Afghanistan,2012,4841.184846,
Afghanistan,2013,5246.163766,
Afghanistan,2014,5447.055032,
Afghanistan,2015,4532.803266,
Afghanistan,2016,5098.345515,
Afghanistan,2017,5279.400271,
Afghanistan,2018,5294.034264,
Afghanistan,2019,6748.886698,
Afghanistan,2020,7044.164226,
Afghanistan,2021,6355.196584,
Afghanistan,2022,5938.040493,
Afghanistan,2023,6060.414433,
Afghanistan,2024,5997.047612,
Bangladesh,2010,25552.292819,
Bangladesh,2011,27062.841538,
Bangladesh,2012,28266.98254,3669.694917
Bangladesh,2013,29367.259943,
Bangladesh,2014,31078.190269,
Bangladesh,2015,32559.969107,
Bangladesh,2016,33933.426983,
Bangladesh,2017,35017.947008,
Bangladesh,2018,36259.168433,8075.724265
Bangladesh,2019,37441.425058,
Bangladesh,2020,38722.278287,9224.303917
Bangladesh,2021,39951.548341,
Bangladesh,2022,41171.65052,
Bangladesh,2023,42559.728564,
Bangladesh,2024,43898.299794,
Bhutan,2010,228.278424,
Bhutan,2011,233.698059,
Bhutan,2012,239.349824,
Bhutan,2013,243.779096,
Bhutan,2014,249.499096,
Bhutan,2015,262.430047,
Bhutan,2016,274.459527,
Bhutan,2017,283.057228,
Bhutan,2018,291.183012,
Bhutan,2019,296.216282,
Bhutan,2020,308.064952,
Bhutan,2021,312.452613,
Bhutan,2022,308.875012,
Bhutan,2023,313.113808,
Bhutan,2024,322.785331,
Brunei Darussalam,2010,123.07953,
Brunei Darussalam,2011,119.853584,
Brunei Darussalam,2012,129.603582,
Brunei Darussalam,2013,128.046372,
Brunei Darussalam,2014,134.089727,
Brunei Darussalam,2015,142.64866,
Brunei Darussalam,2016,137.554053,
Brunei Darussalam,2017,135.412961,
Brunei Darussalam,2018,133.279165,
Brunei Darussalam,2019,131.395781,
Brunei Darussalam,2020,150.309471,
Brunei Darussalam,2021,175.739276,
Brunei Darussalam,2022,169.921335,
Brunei Darussalam,2023,154.590485,
Brunei Darussalam,2024,160.803395,
Cambodia,2010,4472.250514,
Cambodia,2011,4584.565098,
Cambodia,2012,4779.782802,
Cambodia,2013,4831.217196,
Cambodia,2014,4859.563939,
Cambodia,2015,4868.883116,
Cambodia,2016,4933.275905,
Cambodia,2017,5015.958915,
Cambodia,2018,5071.323626,
Cambodia,2019,5053.213841,
Cambodia,2020,5083.193751,
Cambodia,2021,5161.398779,
Cambodia,2022,5192.332352,
Cambodia,2023,5228.344376,
Cambodia,2024,5360.91451,
India,2010,303288.421556,19993.61958
India,2011,322692.165629,22080.272538
India,2012,327492.084112,22362.532668
India,2013,345734.950934,23742.672764
India,2014,344986.613886,24817.967598
India,2015,347227.644556,29027.407875
India,2016,370830.647277,33847.001216
India,2017,395327.428804,36665.838138
India,2018,403615.333951,38561.245828
India,2019,428479.286315,39406.351813
India,2020,445642.855028,41019.770013
India,2021,466245.617768,37782.682083
India,2022,488191.174131,36951.063965
India,2023,495223.446006,
India,2024,511822.147788,
Indonesia,2010,94801.832801,
Indonesia,2011,98543.617063,
Indonesia,2012,103063.333439,
Indonesia,2013,107396.414721,
Indonesia,2014,111948.6036,
Indonesia,2015,116151.993174,
Indonesia,2016,120069.485903,
Indonesia,2017,124771.325926,
Indonesia,2018,129617.641322,
Indonesia,2019,134292.303594,
Indonesia,2020,136671.948137,
Indonesia,2021,139229.294118,
Indonesia,2022,142368.696089,
Indonesia,2023,144226.192692,
Indonesia,2024,149098.116958,
Iran (Islamic Republic of),2010,33313.585029,
Iran (Islamic Republic of),2011,34138.029666,
Iran (Islamic Republic of),2012,35845.167621,
Iran (Islamic Republic of),2013,37757.638533,
Iran (Islamic Republic of),2014,40891.26294,
Iran (Islamic Republic of),2015,42103.190328,
Iran (Islamic Republic of),2016,44184.706043,
Iran (Islamic Republic of),2017,45666.347818,
Iran (Islamic Republic of),2018,44627.281525,
Iran (Islamic Republic of),2019,48698.805272,
Iran (Islamic Republic of),2020,50240.194108,
Iran (Islamic Republic of),2021,48926.400433,
Iran (Islamic Republic of),2022,49480.766228,
Iran (Islamic Republic of),2023,49975.573891,
Iran (Islamic Republic of),2024,51657.433964,
Lao People's Democratic Republic,2010,2157.648998,
Lao People's Democratic Republic,2011,2215.000116,
Lao People's Democratic Republic,2012,2287.46379,
Lao People's Democratic Republic,2013,2352.522092,
Lao People's Democratic Republic,2014,2450.135984,
Lao People's Democratic Republic,2015,2537.323504,392.554938
Lao People's Democratic Republic,2016,2607.324715,404.886376
Lao People's Democratic Republic,2017,2682.243273,422.818383
Lao People's Democratic Republic,2018,2716.240126,
Lao People's Democratic Republic,2019,2749.343195,
Lao People's Democratic Republic,2020,2781.116866,
Lao People's Democratic Republic,2021,2849.317379,
Lao People's Democratic Republic,2022,2944.827416,
Lao People's Democratic Republic,2023,3054.917715,
Lao People's Democratic Republic,2024,3154.483804,
Malaysia,2010,21928.46632,6042.074974
Malaysia,2011,23429.397637,6370.618863
Malaysia,2012,23654.550563,7227.174886
Malaysia,2013,24124.170357,7473.774805
Malaysia,2014,24618.131007,8835.646447
Malaysia,2015,24974.76283,7907.921974
Malaysia,2016,24062.844494,8255.100118
Malaysia,2017,25479.137447,8823.738589
Malaysia,2018,25511.96858,8756.684833
Malaysia,2019,26007.679723,8881.507353
Malaysia,2020,25376.774632,9471.978073
Malaysia,2021,25348.865275,10372.137156
Malaysia,2022,25367.556863,11212.527869
Malaysia,2023,25551.400148,
Malaysia,2024,26278.947788,
Maldives,2010,215.790195,
Maldives,2011,215.683539,
Maldives,2012,215.289346,
Maldives,2013,230.524527,
Maldives,2014,229.709571,
Maldives,2015,228.51045,
Maldives,2016,231.94161,
Maldives,2017,251.061565,
Maldives,2018,263.446339,
Maldives,2019,242.184451,
Maldives,2020,258.047728,
Maldives,2021,256.007249,
Maldives,2022,271.831537,
Maldives,2023,280.469163,
Maldives,2024,287.741631,
Myanmar,2010,15052.559947,
Myanmar,2011,14953.11185,
Myanmar,2012,15204.627144,
Myanmar,2013,15758.154639,
Myanmar,2014,16192.168765,
Myanmar,2015,16744.004935,
Myanmar,2016,16593.148864,
Myanmar,2017,16775.861374,
Myanmar,2018,13824.999175,
Myanmar,2019,14047.58135,
Myanmar,2020,14234.903002,
Myanmar,2021,17991.349079,
Myanmar,2022,18439.743716,
Myanmar,2023,17915.490902,
Myanmar,2024,18599.290296,
Nepal,2010,5321.923865,
Nepal,2011,5564.499596,
Nepal,2012,5858.858782,
Nepal,2013,5935.399816,
Nepal,2014,6201.70052,
Nepal,2015,6276.179453,
Nepal,2016,6270.885182,
Nepal,2017,6595.38812,
Nepal,2018,6767.48091,
Nepal,2019,7116.474198,
Nepal,2020,7289.516945,
Nepal,2021,7497.175192,
Nepal,2022,7673.473279,
Nepal,2023,7885.417917,
Nepal,2024,8125.107744,
Pakistan,2010,60412.08376,
Pakistan,2011,62050.787035,
Pakistan,2012,64055.66239,
Pakistan,2013,66068.256402,
Pakistan,2014,67666.141434,
Pakistan,2015,68871.986217,
Pakistan,2016,69151.217218,7594.039259
Pakistan,2017,70683.805349,7963.673523
Pakistan,2018,73423.863929,8527.418892
Pakistan,2019,74113.430638,
Pakistan,2020,77014.675641,
Pakistan,2021,79723.014175,
Pakistan,2022,83137.522749,
Pakistan,2023,85009.538586,
Pakistan,2024,87801.342358,
Philippines,2010,29935.110957,
Philippines,2011,30948.138543,
Philippines,2012,31901.325356,
Philippines,2013,32837.025179,
Philippines,2014,33452.067246,
Philippines,2015,33698.314258,
Philippines,2016,33373.799043,
Philippines,2017,34791.900071,
Philippines,2018,35180.752982,
Philippines,2019,35604.663529,
Philippines,2020,35535.512557,
Philippines,2021,35432.117978,
Philippines,2022,35602.258586,
Philippines,2023,36024.846785,
Philippines,2024,36964.893337,
Singapore,2010,86.701944,2009.074423
Singapore,2011,90.33877,2443.282971
Singapore,2012,94.266543,2664.740385
Singapore,2013,97.612423,2740.873507
Singapore,2014,100.812831,3144.728433
Singapore,2015,100.449148,3038.381988
Singapore,2016,100.012729,3118.194503
Singapore,2017,102.92219,3217.10084
Singapore,2018,106.122597,2697.536987
Singapore,2019,113.468987,3209.088391
Singapore,2020,108.668376,3224.17338
Singapore,2021,120.96085,2972.232989
Singapore,2022,111.72331,3052.484111
Singapore,2023,114.632771,
Singapore,2024,110.629303,
Sri Lanka,2010,5498.139637,
Sri Lanka,2011,5790.597419,
Sri Lanka,2012,6101.468422,
Sri Lanka,2013,6348.31408,3171.299483
Sri Lanka,2014,6638.553948,4037.667248
Sri Lanka,2015,6995.980276,3163.942345
Sri Lanka,2016,6669.518637,3572.397535
Sri Lanka,2017,6547.749947,4000.667252
Sri Lanka,2018,6957.996721,4825.783267
Sri Lanka,2019,6989.572813,4780.258553
Sri Lanka,2020,6926.743997,4657.692927
Sri Lanka,2021,6996.684824,5002.367705
Sri Lanka,2022,6704.421448,
Sri Lanka,2023,6876.705651,
Sri Lanka,2024,7061.665415,
Thailand,2010,34725.217494,
Thailand,2011,36912.385131,
Thailand,2012,37910.924976,
Thailand,2013,38177.383414,
Thailand,2014,38067.481594,
Thailand,2015,35605.877375,
Thailand,2016,35193.615469,21453.158643
Thailand,2017,36890.589767,22688.365747
Thailand,2018,39139.732549,23474.030914
Thailand,2019,38756.145711,
Thailand,2020,37531.847523,
Thailand,2021,38374.582315,
Thailand,2022,39328.837681,
Thailand,2023,40089.362905,
Thailand,2024,41187.041423,
Timor-Leste,2010,318.297037,
Timor-Leste,2011,266.512432,
Timor-Leste,2012,316.738531,
Timor-Leste,2013,300.246383,
Timor-Leste,2014,296.512432,
Timor-Leste,2015,283.51172,
Timor-Leste,2016,279.741452,
Timor-Leste,2017,271.493266,
Timor-Leste,2018,279.349862,
Timor-Leste,2019,286.203749,
Timor-Leste,2020,287.80169,
Timor-Leste,2021,303.603404,
Timor-Leste,2022,319.992329,
Timor-Leste,2023,327.223647,
Timor-Leste,2024,336.807556,
Viet Nam,2010,29773.814704,
Viet Nam,2011,31036.897289,
Viet Nam,2012,31928.113868,
Viet Nam,2013,32736.295163,
Viet Nam,2014,33784.990148,
Viet Nam,2015,34631.987894,
Viet Nam,2016,35204.72227,
Viet Nam,2017,36320.143975,
Viet Nam,2018,37814.879024,
Viet Nam,2019,38823.440399,
Viet Nam,2020,40003.447238,
Viet Nam,2021,41487.876695,
Viet Nam,2022,42929.848992,
Viet Nam,2023,44575.545774,
Viet Nam,2024,46084.646862,
