Area,Year,Use per area of cropland_Nutrient nitrogen N (total)
Afghanistan,2010,1.63
Afghanistan,2011,2.9
Afghanistan,2012,2.16
Afghanistan,2013,4.41
Afghanistan,2014,9.34
Afghanistan,2015,11.7
Afghanistan,2016,12.22
Afghanistan,2017,17.8
Afghanistan,2018,15.06
Afghanistan,2019,7.45
Afghanistan,2020,5.36
Afghanistan,2021,4.14
Afghanistan,2022,3.23
Bangladesh,2010,135.03
Bangladesh,2011,149.49
Bangladesh,2012,132.6
Bangladesh,2013,130.67
Bangladesh,2014,144.75
Bangladesh,2015,154.28
Bangladesh,2016,136.41
Bangladesh,2017,144.45
Bangladesh,2018,154.68
Bangladesh,2019,150.93
Bangladesh,2020,154.23
Bangladesh,2021,173.31
Bangladesh,2022,171.18
Bhutan,2010,6.07
Bhutan,2011,7.5
Bhutan,2012,6.89
Bhutan,2013,6.73
Bhutan,2014,7.89
Bhutan,2015,8.17
Bhutan,2016,8.05
Bhutan,2017,7.9
Bhutan,2018,15.08
Bhutan,2019,8.02
Bhutan,2020,8.54
Bhutan,2021,10.16
Bhutan,2022,5.96
Brunei Darussalam,2010,60.4
Brunei Darussalam,2011,26.3
Brunei Darussalam,2012,29.3
Brunei Darussalam,2013,7.0
Brunei Darussalam,2014,24.3
Brunei Darussalam,2015,24.3
Brunei Darussalam,2016,24.3
Brunei Darussalam,2017,24.3
Brunei Darussalam,2018,24.3
Brunei Darussalam,2019,24.3
Brunei Darussalam,2020,24.3
Brunei Darussalam,2021,24.3
Brunei Darussalam,2022,24.3
Cambodia,2010,5.84
Cambodia,2011,9.28
Cambodia,2012,13.71
Cambodia,2013,12.45
Cambodia,2014,15.66
Cambodia,2015,19.49
Cambodia,2016,13.25
Cambodia,2017,26.84
Cambodia,2018,29.32
Cambodia,2019,25.19
Cambodia,2020,24.18
Cambodia,2021,26.33
Cambodia,2022,18.35
India,2010,97.21
India,2011,102.54
India,2012,99.33
India,2013,98.85
India,2014,100.02
India,2015,102.54
India,2016,98.84
India,2017,100.41
India,2018,104.45
India,2019,111.84
India,2020,121.42
India,2021,115.97
India,2022,120.24
Indonesia,2010,71.51
Indonesia,2011,73.45
