Variable,VIF
Mobile Cellular Subscriptions (per 100 people),34.75169006296706
Fixed Broadband Subsciptions (per 100 people),11.73132922134989
Made a digital in-store merchant payment: using a mobile phone (% age 15+),6.467263575106091
Made a utility payment: using a mobile phone (% age 15+),6.614538771766038
Used a mobile phone or the internet to buy something online (% age 15+),23.8462606953398
"GDP per capita, PPP (constant 2021 international $)",17.40434201427072
Population density (people per sq. km of land area),3.5617614297982896
Population growth (annual %),11.45029274423582
"Agriculture, forestry, and fishing, value added (percent of GDP)",36.706356518073726
foodSupply_stability,2.7804247334961274
Rural Access to Electricity(Percent of Population),47.46331148201696
"Fertility rate, total (births per woman)",108.5901733136097
"Mortality rate, infant (per 1,000 live births)",43.25587969215233
Rural population (% of total population),44.538045273649224
