country,year,Fixed Broadband Subscriptions (per 100 people),Mobile Cellular Subscriptions (per 100 people),"Access to Electricity, rural (% of Rural Pop.)",Account (% age 15+),"Account, female (% age 15+)","Account, male (% age 15+)","Account, rural (% age 15+)","Account, urban (% age 15+)",Financial institution account (% age 15+),"Financial institution account, female (% age 15+)","Financial institution account, male (% age 15+)","Financial institution account, rural (% age 15+)","Financial institution account, urban (% age 15+)",Mobile money account (% age 15+),"Mobile money account, female (% age 15+)","Mobile money account, male (% age 15+)","Mobile money account, rural (% age 15+)","Mobile money account, urban (% age 15+)",Own a mobile phone (% age 15+),Owns a debit or credit card (% age 15+),"Owns a debit or credit card, female (% age 15+)","Owns a debit or credit card, male (% age 15+)","Owns a debit or credit card, rural (% age 15+)","Owns a debit or credit card, urban (% age 15+)","Population, total",Urban population (% of total population),Rural population (% of total population),"Life expectancy at birth, total (years)","Mortality rate, infant (per 1,000 live births)",Population density (people per sq. km of land area),Poverty headcount ratio at national poverty lines (% of population),Population growth (annual %),"Fertility rate, total (births per woman)","GDP per capita, PPP (constant 2021 international $)","Value US$, 2015 prices_Value Added (Agriculture, Forestry and Fishing)","Value US$, 2015 prices_Value Added (Manufacture of food and beverages)","Value US$, 2015 prices_Credit to Agriculture, Forestry and Fishing",Use per area of cropland_Nutrient nitrogen N (total)
BGD,2011,,,,31.74,26.01,37.29,,,31.74,26.01,37.29,,,,,,,,,2.49,0.86,4.06,,,,,,,,,,,,,27062.841538,,3271.100803,149.49
BGD,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28266.98254,3669.694917,3213.392664,132.6
BGD,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29367.259943,,3296.803356,130.67
BGD,2014,,,,30.99,26.45,35.37,,,29.14,25.22,32.93,,,2.69,2.12,3.24,,,,5.17,2.41,7.83,,,,,,,,,,,,,31078.190269,,3524.70497,144.75
BGD,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32559.969107,,3778.212713,154.28
BGD,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33933.426983,,4130.25207,136.41
BGD,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35017.947008,,4323.608872,144.45
BGD,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36259.168433,8075.724265,4762.082962,154.68
BGD,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37441.425058,,4957.591367,150.93
BGD,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38722.278287,9224.303917,4861.044882,154.23
BGD,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39951.548341,,5184.469024,173.31
BGD,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41171.65052,,5827.916712,171.18
BGD,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42559.728564,,6122.73632,
