Variable,VIF
Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),2214.978494634965
Current account balance (% of GDP),5.673123938400631
"Current account balance (BoP, current US$)",5.027742935227529
Financial institution account (% age 15+),1606.9572796207092
Mobile money account (% age 15+),96.09927777153837
Owns a debit or credit card (% age 15+),266.01798358779325
Received digital payments (% age 15+),163.6783370255914
Saved at a financial institution or using a mobile money account (% age 15+),9007199254740992.0
Saved money using a mobile money account (% age 15+),195808679450891.12
Store money using a financial institution or a mobile money account (% age 15+),3002399751580330.5
"Store money using a financial institution or a mobile money account (% with an account,  age 15+)",9007199254740992.0
Store money using a mobile money account (% age 15+),9007199254740992.0
"Store money using a mobile money account (% with a mobile money account acount, age 15+)",195808679450891.12
Mobile Cellular Subscriptions (per 100 people),12.237838172436268
Fixed Broadband Subsciptions (per 100 people),53.44344719921056
Made a digital in-store merchant payment: using a mobile phone (% age 15+),9007199254740992.0
Made a utility payment: using a mobile phone (% age 15+),60.383471899183746
Own a mobile phone (% age 15+),225179981368524.8
"GDP per capita, PPP (constant 2021 international $)",539.6088282330508
Population density (people per sq. km of land area),37945.385447436995
Population growth (annual %),44.93106423478
"Fertility rate, total (births per woman)",43.2084531811716
"Life expectancy at birth, total (years)",34.52583453113697
"Mortality rate, infant (per 1,000 live births)",177.79451625575518
Rural population (% of total population),2251799813685248.0
Urban population (% of total population),3002399751580330.5
